үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
289.0,"Хан-Уул, Зайсан",Паркет,1,2024.0,0,Вакум,10.0,Бүргэд,72.28,7.0,0,2.0,1
140.5,"Баянзүрх, 16-р хороолол",Паркет,1,2016.0,0,Вакум,16.0,Бүргэд,57.51,9.0,0,4.0,1
180.0,"Баянзүрх, Баянзүрх, Хороо 42",Паркет,1,2020.0,0,Вакум,12.0,Төмөр,54.26,2.0,0,3.0,1
80.0,"Баянзүрх, 16-р хороолол",Паркет,1,2013.0,0,Вакум,6.0,Бүргэд,24.0,1.0,0,2.0,1
192.0,"Баянгол, Төмөр зам",Паркет,0,2017.0,0,Вакум,5.0,Бүргэд,60.0,5.0,0,3.0,1
168.0,"Баянгол, Баянгол, Хороо 1",Паркет,1,2016.0,0,Вакум,13.0,Бүргэд,48.12,7.0,0,3.0,1
665.0,"Хан-Уул, Japan town",Паркет,0,2019.0,0,Модон вакум,17.0,Төмөр вакум,85.0,12.0,0,4.0,1
100.0,"Сонгинохайрхан, 1-р хороолол",Паркет,0,2014.0,0,Вакум,12.0,Бүргэд,34.0,9.0,1,1.0,1
616.0,"Баянгол, Төмөр зам",Паркет,2,2024.0,0,Вакум,16.0,Төмөр,116.0,12.0,0,4.0,1
623.65,"Хан-Уул, Хүннү",Паркет,2,2018.0,0,Вакум,19.0,Вакум,118.0,5.0,1,5.0,1
577.3,"Хан-Уул, Яармаг",Паркет,1,2023.0,1,Вакум,12.0,Төмөр,134.26,12.0,1,5.0,1
495.0,"Баянзүрх, Баянзүрх, Хороо 26",Паркет,1,2021.0,0,Вакум,16.0,Бүргэд,100.0,2.0,0,4.0,1
98.0,"Баянзүрх, Өгөөмөр захын зүүн",Паркет,1,2019.0,0,Вакум,12.0,Бүргэд,33.04,2.0,0,1.0,1
192.0,"Баянгол, Баянгол, Хороо 1",Паркет,0,2017.0,0,Вакум,5.0,Бүргэд,60.0,5.0,0,3.0,1
98.0,"Баянзүрх, Баянзүрх, Хороо 14",Паркет,1,2019.0,0,Вакум,12.0,Бүргэд,33.42,1.0,1,1.0,1
333.04,"Баянзүрх, Сансар",Ламинат,1,2023.0,1,Вакум,15.0,Бүргэд,83.26,11.0,0,4.0,1
168.0,"Хан-Уул, Хан-Уул, Хороо 17",Паркет,1,2020.0,0,Вакум,13.0,Бүргэд,48.12,7.0,0,3.0,1
254.76,"Сүхбаатар, Дарь Эх",Ламинат,1,2023.0,1,Вакум,15.0,Бүргэд,63.69,5.0,0,2.0,1
580.0,"Чингэлтэй, 40 мянгат",Паркет,1,2015.0,0,Мод,13.0,Бүргэд,89.0,10.0,0,4.0,1
227.0,"Сүхбаатар, Дөлгөөн нуур",Паркет,2,2024.0,0,Вакум,16.0,Мод,63.05,16.0,1,3.0,1
209.0,"Хан-Уул, Яармаг",Паркет,1,2020.0,0,Вакум,16.0,Бүргэд,65.67,1.0,1,2.0,1
130.0,"Баянгол, 10-р хороолол",Паркет,0,2013.0,0,Вакум,12.0,Бүргэд,43.1,4.0,0,2.0,1
120.0,"Баянгол, 3, 4 хороолол",Паркет,1,1992.0,0,Вакум,9.0,Вакум,40.0,1.0,0,3.0,1
471.9,"Хан-Уул, King Tower",Паркет,0,2019.0,0,Вакум,16.0,Бүргэд,121.0,3.0,0,3.0,1
127.0,"Чингэлтэй, Чингэлтэй, Хороо 15",Паркет,1,2022.0,0,Вакум,5.0,Бүргэд,69.13,5.0,1,3.0,1
385.0,"Хан-Уул, Нархан хотхон",Паркет,0,2024.0,0,Вакум,16.0,Бүргэд,70.0,3.0,0,4.0,1
