үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
6460000.00,УБ — Сүхбаатар,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,112.94 м²,10,Банкны лизингтэй,5,Ашиглалтад орсон
289000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2024,Байхгүй,Вакум,10,Бүргэд,72.28 м²,7,Лизинггүй,2,Ашиглалтад орсон
850000000.00,"УБ — Сүхбаатар, 100 айл",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
140500000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,2016,Байхгүй,Вакум,16,Бүргэд,57.51 м²,9,Лизинггүй,4,Ашиглалтад орсон
19000000.00,"УБ — Сүхбаатар, Гоодойн ам",,,,,,,,,,Лизинггүй,,
469000000.00,"УБ — Хан-Уул, River Garden",,,,,,,,,,Хувь лизингтэй,,Ашиглалтад орсон
180000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 42",Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Төмөр,54.26 м²,2,Лизинггүй,3,Ашиглалтад орсон
230000000.00,"УБ — Хан-Уул, Яармаг",,,,,,,,,,Лизинггүй,,
250000000.00,"УБ — Баянзүрх, Гачуурт",,,,,,,,72 м²,,Лизинггүй,,Ашиглалтад орсон
80000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,2013,Байхгүй,Вакум,6,Бүргэд,24.0 м²,1,Лизинггүй,2,Ашиглалтад орсон
2100000000.00,"УБ — Чингэлтэй, Баянбүрд",,,,,,,,,,Лизинггүй,,
280000000.00,"УБ — Чингэлтэй, Чингэлтэй, Хороо 4",,,,,,,,62 м²,,Банкны лизингтэй,,Ашиглалтад орсон
1700000.00,"УБ — Баянзүрх, Сансар",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
1500000000.00,"УБ — Хан-Уул, Зайсан",,,,,,,,244 м²,,Лизинггүй,,Ашиглалтад орсон
160000000.00,"УБ — Сонгинохайрхан, Баянхошуу",,,,,,,,900 м²,,Лизинггүй,,
150000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 12",,,,,,,,325 м²,,Лизинггүй,,
3500000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",,,,,,,,98 м²,,Банкны лизингтэй,,Ашиглалтад орсон
192000000.00,"УБ — Баянгол, Төмөр зам",Паркет,Тагтгүй,2017,Байхгүй,Вакум,5,Бүргэд,60.0 м²,5,Лизинггүй,3,Ашиглалтад орсон
