,үнэ,хаяг,Тагт:,Гараж:,Барилгын давхар:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Нас,Цонх:_Бусад,Цонх:_Вакум,Дүүрэг_Баянгол,Дүүрэг_Баянзүрх,Дүүрэг_Налайх,Дүүрэг_Сонгинохайрхан,Дүүрэг_Сүхбаатар,Дүүрэг_Хан-Уул,Дүүрэг_Чингэлтэй,Хаалга:_Бусад,Хаалга:_Бүргэд,Хаалга:_Төмөр,Шал:_Бусад,Шал:_Паркет
0,289.0,Зайсан,1,0,10.0,72.28,7.0,0,2.0,1,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
1,140.5,16-р хороолол,1,0,16.0,57.51,9.0,0,4.0,1,8.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
2,180.0,Баянзүрх,1,0,12.0,54.26,2.0,0,3.0,1,4.0,False,True,False,True,False,False,False,False,False,False,False,True,False,True
3,80.0,16-р хороолол,1,0,6.0,24.0,1.0,0,2.0,1,11.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
4,192.0,Төмөр зам,0,0,5.0,60.0,5.0,0,3.0,1,7.0,False,True,True,False,False,False,False,False,False,False,True,False,False,True
5,168.0,Баянгол,1,0,13.0,48.12,7.0,0,3.0,1,8.0,False,True,True,False,False,False,False,False,False,False,True,False,False,True
6,665.0,Japan town,0,0,17.0,85.0,12.0,0,4.0,1,5.0,True,False,False,False,False,False,False,True,False,False,False,True,False,True
7,100.0,1-р хороолол,0,0,12.0,34.0,9.0,1,1.0,1,10.0,False,True,False,False,False,True,False,False,False,False,True,False,False,True
8,616.0,Төмөр зам,2,0,16.0,116.0,12.0,0,4.0,1,0.0,False,True,True,False,False,False,False,False,False,False,False,True,False,True
9,623.65,Хүннү,2,0,19.0,118.0,5.0,1,5.0,1,6.0,False,True,False,False,False,False,False,True,False,True,False,False,False,True
10,577.3,Яармаг,1,1,12.0,134.26,12.0,1,5.0,1,1.0,False,True,False,False,False,False,False,True,False,False,False,True,False,True
11,495.0,Баянзүрх,1,0,16.0,100.0,2.0,0,4.0,1,3.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
12,98.0,Өгөөмөр захын зүүн,1,0,12.0,33.04,2.0,0,1.0,1,5.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
13,192.0,Баянгол,0,0,5.0,60.0,5.0,0,3.0,1,7.0,False,True,True,False,False,False,False,False,False,False,True,False,False,True
14,98.0,Баянзүрх,1,0,12.0,33.42,1.0,1,1.0,1,5.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
15,333.04,Сансар,1,1,15.0,83.26,11.0,0,4.0,1,1.0,False,True,False,True,False,False,False,False,False,False,True,False,True,False
16,168.0,Хан-Уул,1,0,13.0,48.12,7.0,0,3.0,1,4.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
17,254.76,Дарь Эх,1,1,15.0,63.69,5.0,0,2.0,1,1.0,False,True,False,False,False,False,True,False,False,False,True,False,True,False
18,580.0,40 мянгат,1,0,13.0,89.0,10.0,0,4.0,1,9.0,True,False,False,False,False,False,False,False,True,False,True,False,False,True
