iter	RMSE
0	155.815952
1	137.2992413
2	122.4060136
3	111.7917151
4	103.3345669
5	96.50019227
6	91.82473134
7	88.90173376
8	86.01622664
9	83.32219372
10	81.34298614
11	80.00996198
12	79.35986956
13	78.42044932
14	77.52405809
15	76.61998618
16	76.17147179
17	75.80535817
18	75.39218325
19	74.9866132
20	74.28053704
21	73.82996323
22	73.37030485
23	72.77784074
24	72.3344627
25	72.05185364
26	71.765838
27	71.55859014
28	71.39944363
29	71.10617967
30	70.89541568
31	70.60883506
32	70.3664565
33	70.14657696
34	69.79037706
35	69.58923217
36	69.40811963
37	69.27961201
38	69.07136309
39	68.75398387
40	68.50925221
41	68.2651431
42	67.88163122
43	67.79059671
44	67.28812038
45	67.05691793
46	66.71893264
47	66.40848434
48	66.26370927
49	66.12983801
50	65.71268608
51	65.52601049
52	65.13396361
53	64.83425961
54	64.72861061
55	64.49381456
56	64.38342982
57	64.28777085
58	64.05746085
59	63.79503376
60	63.68708913
61	63.35383194
62	62.85779149
63	62.58619715
64	62.50455797
65	62.21134402
66	61.82166453
67	61.6001868
68	61.30504482
69	61.12626976
70	60.93487706
71	60.55878827
72	60.31991335
73	59.99388367
74	59.8576387
75	59.56676742
76	59.48219743
77	59.31815658
78	59.23522245
79	59.14475287
80	58.88978386
81	58.56714744
82	58.32204798
83	58.23006212
84	58.00917432
85	57.7564414
86	57.61690001
87	57.34817896
88	57.12414808
89	56.93923025
90	56.88083243
91	56.7108181
92	56.62047344
93	56.49276499
94	56.32405576
95	56.12091822
96	55.9239199
97	55.74648798
98	55.58191259
99	55.40162419
100	55.22248085
101	55.07640955
102	54.92592744
103	54.79242801
104	54.6864198
105	54.53745976
106	54.45005233
107	54.27529435
108	53.99981878
109	53.94159091
110	53.80620761
111	53.67037591
112	53.46521058
113	53.38632198
114	53.27151606
115	53.11191819
116	52.98503496
117	52.82053707
118	52.72391195
119	52.63325312
120	52.417173
121	52.31705738
122	52.15076164
123	52.0503161
124	51.87308122
125	51.8078221
126	51.65444859
127	51.60913669
128	51.56350235
129	51.46386531
130	51.36934477
131	51.23461521
132	51.16918819
133	51.09604048
134	51.02372493
135	50.92889982
136	50.81552833
137	50.78893399
138	50.56125927
139	50.4017154
140	50.36787859
141	50.28001616
142	50.21082911
143	50.19371117
144	49.99958044
145	49.88882017
146	49.84984847
147	49.72255683
148	49.68464684
149	49.55870392
150	49.53783813
151	49.43413197
152	49.37728318
153	49.32746647
154	49.25090645
155	49.16322768
156	49.08765148
157	48.95865155
158	48.90890541
159	48.82895731
160	48.73699743
161	48.61531703
162	48.55578899
163	48.50568953
164	48.46586205
165	48.38942294
166	48.25310593
167	48.15539147
168	48.11925061
169	48.04706971
170	47.97853292
171	47.91501683
172	47.85783577
173	47.75239048
174	47.6264587
175	47.45809511
176	47.36222339
177	47.30222335
178	47.20738284
179	47.16870741
180	47.05607263
181	46.96208809
182	46.9223596
183	46.84021725
184	46.79318159
185	46.70307692
186	46.65135509
187	46.55584385
188	46.49303258
189	46.38264867
190	46.31541438
191	46.22974358
192	46.14416339
193	46.04371821
194	46.01940581
195	45.97397139
196	45.89772906
197	45.83787718
198	45.75573665
199	45.70282359
200	45.65562472
201	45.56716602
202	45.51650682
203	45.44359928
204	45.38606394
205	45.34502417
206	45.25620853
207	45.16725143
208	45.07091695
209	45.00495121
210	44.93044937
211	44.88922631
212	44.83018542
213	44.76207726
214	44.70073004
215	44.64294143
216	44.60031701
217	44.55618912
218	44.50189262
219	44.44433861
220	44.42019179
221	44.36125717
222	44.2979271
223	44.16565222
224	44.07286915
225	44.01815244
226	43.98842364
227	43.89212089
228	43.81988398
229	43.77750455
230	43.72939027
231	43.63696097
232	43.58418966
233	43.54950045
234	43.52618528
235	43.46546853
236	43.40179525
237	43.37232216
238	43.35137098
239	43.28075699
240	43.22065765
241	43.16060879
242	43.07959535
243	43.02163069
244	42.96960457
245	42.92726769
246	42.8926238
247	42.86914294
248	42.81071214
249	42.73354509
250	42.68631583
251	42.66234756
252	42.61667579
253	42.56521972
254	42.51449181
255	42.46618157
256	42.40379564
257	42.37983394
258	42.34329909
259	42.3108525
260	42.27888954
261	42.23056387
262	42.13273743
263	42.07382647
264	41.97788534
265	41.9174091
266	41.90660965
267	41.87144319
268	41.85750495
269	41.82404006
270	41.7863817
271	41.76464062
272	41.72625508
273	41.68783203
274	41.64362134
275	41.60110261
276	41.56552997
277	41.52569033
278	41.48800346
279	41.45722222
280	41.44067604
281	41.41900377
282	41.3937056
283	41.29722943
284	41.19670769
285	41.1670913
286	41.1137571
287	41.07664327
288	41.00646847
289	40.98402324
290	40.95134214
291	40.90932665
292	40.87058848
293	40.84746573
294	40.81008407
295	40.78139108
296	40.73558553
297	40.70917875
298	40.67074607
299	40.64093186
300	40.60732114
301	40.57259082
302	40.51962698
303	40.49322694
304	40.43899833
305	40.37219635
306	40.27955979
307	40.25745535
308	40.1966196
309	40.1386015
310	40.10759066
311	40.05694198
312	39.99135808
313	39.94709591
314	39.88442044
315	39.79887823
316	39.76312952
317	39.73173989
318	39.71792629
319	39.71002137
320	39.6725194
321	39.62868423
322	39.57031123
323	39.49975471
324	39.48636444
325	39.43258823
326	39.36532211
327	39.31538776
328	39.27743154
329	39.26244008
330	39.24671756
331	39.17067852
332	39.11802653
