үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
84.0,"УБ — Хан-Уул, Viva city",Паркет,0,2013,0,Вакум,5,Бүргэд,30.5,5,0,2,1
115.0,"УБ — Хан-Уул, 19-р хороолол",Паркет,1,1990,0,Вакум,5,Бүргэд,16.0,5,0,2,1
510.0,"УБ — Баянзүрх, Чингис зочид буудал",Паркет,1,2010,0,Вакум,10,Бүргэд,150.0,10,0,5,1
107.946,"УБ — Хан-Уул, Хан-Уул, Хороо 16",Паркет,0,2021,0,Вакум,12,Вакум,39.98,2,0,2,1
521.37,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,2,2016,1,Вакум,16,Бүргэд,115.86,7,0,5,1
160.0,"УБ — Баянгол, 6-р бичил",Цемент,2,1994,0,Вакум,9,Бүргэд,70.0,8,0,4,1
350.0,"УБ — Хан-Уул, Хан-Уул, Хороо 22",Паркет,2,2010,1,Вакум,10,Бүргэд,149.94,10,1,6,1
387.651,"УБ — Хан-Уул, Хан-Уул, Хороо 4",Паркет,1,2022,0,Вакум,15,Төмөр,117.47,5,0,4,1
455.0,"УБ — Хан-Уул, Зайсан",Плита,0,2018,0,Төмөр вакум,10,Бүргэд,130.0,5,1,4,1
450.0,"УБ — Чингэлтэй, Чингэлтэй, Хороо 2",Паркет,3,1986,0,Вакум,5,Бүргэд,121.0,4,0,7,1
630.0,"УБ — Баянзүрх, РЦНК",Паркет,1,2008,1,Вакум,10,Бүргэд,185.35,8,0,5,1
551.07,"УБ — Хан-Уул, Яармаг",Паркет,2,2022,1,Вакум,17,Бүргэд,141.3,15,0,7,1
135.0,"УБ — Сонгинохайрхан, 1-р хороолол",Паркет,1,1998,0,Вакум,9,Бүргэд,29.0,6,1,3,1
340.0,"УБ — Баянзүрх, Баянмонгол хороолол",Паркет,1,2017,0,Вакум,16,Төмөр,74.0,7,0,4,1
430.0,"УБ — Хан-Уул, Хүннү",Паркет,1,2021,0,Вакум,25,Бүргэд,70.0,18,0,3,1
480.0,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1,2024,0,Вакум,22,Бүргэд,86.41,20,1,4,1
83.6,"УБ — Сүхбаатар, 11-р хороолол",Паркет,1,2013,0,Вакум,12,Бүргэд,22.01,11,0,1,1
370.0,"УБ — Хан-Уул, 120 мянгат",Паркет,0,2016,0,Вакум,12,Бүргэд,112.4,10,0,7,1
500.0,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1,2004,1,Вакум,4,Бүргэд,190.0,4,0,7,1
