үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Байршил:,Код:,location:
84000000.00,"УБ — Хан-Уул, Viva city",Паркет,Тагтгүй,2013,Байхгүй,Вакум,5,Бүргэд,30.5 м²,5,Лизинггүй,2,Ашиглалтад орсон,,,
115000000.00,"УБ — Хан-Уул, 19-р хороолол",Паркет,1 тагттай,1990,Байхгүй,Вакум,5,Бүргэд,16.0 м²,5,Лизинггүй,2,Ашиглалтад орсон,,,
510000000.00,"УБ — Баянзүрх, Чингис зочид буудал",Паркет,1 тагттай,2010,Байхгүй,Вакум,10,Бүргэд,150.0 м²,10,Лизинггүй,5,Ашиглалтад орсон,,,
2700000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 16",Паркет,Тагтгүй,2021,Байхгүй,Вакум,12,Вакум,39.98 м²,2,Лизинггүй,2,Ашиглалтад орсон,,,
4500000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,2 тагттай,2016,Байгаа,Вакум,16,Бүргэд,115.86 м²,7,Лизинггүй,5,Ашиглалтад орсон,,,
160000000.00,"УБ — Баянгол, 6-р бичил",Цемент,2 тагттай,1994,Байхгүй,Вакум,9,Бүргэд,70.0 м²,8,Лизинггүй,4,Ашиглалтад орсон,,,
1316520000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2022,Байгаа,Вакум,18,Бүргэд,143.0 м²,15,Банкны лизингтэй,5,Ашиглалтад орсон,,,
350000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 22",Паркет,2 тагттай,2010,Байгаа,Вакум,10,Бүргэд,149.94 м²,10,Банкны лизингтэй,6,Ашиглалтад орсон,,,
1000000000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2011,Байгаа,Модон вакум,3,Төмөр вакум,326.0 м²,2,Лизинггүй,8,Ашиглалтад орсон,,,
1365000000.00,"УБ — Сүхбаатар, Цирк",Паркет,1 тагттай,2021,Байгаа,Вакум,10,Бүргэд,210.0 м²,10,Банкны лизингтэй,6,Ашиглалтад орсон,,,
387651000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 4",Паркет,1 тагттай,2022,Байхгүй,Вакум,15,Төмөр,117.47 м²,5,Лизинггүй,4,Ашиглалтад орсон,,,
1773660000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2023,Байгаа,Вакум,23,Төмөр,216.0 м²,5,Лизинггүй,6,Ашиглалтад орсон,,,
455000000.00,"УБ — Хан-Уул, Зайсан",Плита,Тагтгүй,2018,Байхгүй,Төмөр вакум,10,Бүргэд,130.0 м²,5,Банкны лизингтэй,4,Ашиглалтад орсон,,,
450000000.00,"УБ — Чингэлтэй, Чингэлтэй, Хороо 2",Паркет,3+ тагттай,1986,Байхгүй,Вакум,5,Бүргэд,121.0 м²,4,Лизинггүй,7,Ашиглалтад орсон,,,
630000000.00,"УБ — Баянзүрх, РЦНК",Паркет,1 тагттай,2008,Байгаа,Вакум,10,Бүргэд,185.35 м²,8,Лизинггүй,5,Ашиглалтад орсон,,,
1700000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,1 тагттай,2014,Байгаа,Вакум,1,Төмөр вакум,312.0 м²,1,Лизинггүй,8,Ашиглалтад орсон,,,
3900000.00,"УБ — Хан-Уул, Яармаг",Паркет,2 тагттай,2022,Байгаа,Вакум,17,Бүргэд,141.3 м²,15,Лизинггүй,7,Ашиглалтад орсон,,,
3800000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,Тагтгүй,2022,Байхгүй,Вакум,15,Бүргэд,289.0 м²,5,Лизинггүй,4,Ашиглалтад орсон,,,
135000000.00,"УБ — Сонгинохайрхан, 1-р хороолол",Паркет,1 тагттай,1998,Байхгүй,Вакум,9,Бүргэд,29.0 м²,6,Банкны лизингтэй,3,Ашиглалтад орсон,,,
340000000.00,"УБ — Баянзүрх, Баянмонгол хороолол",Паркет,1 тагттай,2017,Байхгүй,Вакум,16,Төмөр,74.0 м²,7,Лизинггүй,4,Ашиглалтад орсон,,,
430000000.00,"УБ — Хан-Уул, Хүннү",Паркет,1 тагттай,2021,Байхгүй,Вакум,25,Бүргэд,70.0 м²,18,Лизинггүй,3,Ашиглалтад орсон,,,
480000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1 тагттай,2024,Байхгүй,Вакум,22,Бүргэд,86.41 м²,20,Банкны лизингтэй,4,Ашиглалтад орсон,,,
83600000.00,"УБ — Сүхбаатар, 11-р хороолол",Паркет,1 тагттай,2013,Байхгүй,Вакум,12,Бүргэд,22.01 м²,11,Лизинггүй,1,Ашиглалтад орсон,,,
370000000.00,"УБ — Хан-Уул, 120 мянгат",Паркет,Тагтгүй,2016,Байхгүй,Вакум,12,Бүргэд,112.4 м²,10,Лизинггүй,7,Ашиглалтад орсон,,,
500000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1 тагттай,2004,Байгаа,Вакум,4,Бүргэд,190.0 м²,4,Лизинггүй,7,Ашиглалтад орсон,,,
99000000.00,"УБ — Баянзүрх, Сансар",Паркет,1 тагттай,2014,Байхгүй,Вакум,6,Бүргэд,36.6 м²,5,Лизинггүй,2,Ашиглалтад орсон,,,
3500000.00,"УБ — Баянгол, Модны 2",Паркет,2 тагттай,2013,Байхгүй,Вакум,12,Вакум,69.5 м²,5,Лизинггүй,4,Ашиглалтад орсон,,,
2000000000.00,"УБ — Хан-Уул, River Garden",Паркет,2 тагттай,2019,Байгаа,Вакум,12,Төмөр,210.0 м²,7,Банкны лизингтэй,6,Ашиглалтад орсон,,,
580000000.00,"УБ — Чингэлтэй, 40 мянгат",Паркет,1 тагттай,2015,Байхгүй,Мод,13,Бүргэд,89.0 м²,10,Лизинггүй,4,Ашиглалтад орсон,,,
1315600000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,Тагтгүй,2019,Байгаа,Вакум,19,Бүргэд,143.0 м²,15,Лизинггүй,6,Ашиглалтад орсон,,,
255000000.00,"УБ — Баянгол, Баянгол, Хороо 3",Паркет,1 тагттай,2022,Байхгүй,Вакум,12,Бүргэд,67.0 м²,11,Банкны лизингтэй,2,Ашиглалтад орсон,,,
1130000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1 тагттай,2024,Байгаа,Вакум,16,Бүргэд,222.0 м²,16,Лизинггүй,5,Ашиглалтад орсон,,,
3750000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2020,Байгаа,Төмөр вакум,10,Төмөр вакум,102.0 м²,1,Лизинггүй,8,Ашиглалтад орсон,,,
4300000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 2",Паркет,1 тагттай,2008,Байгаа,Вакум,5,Төмөр,157.7 м²,5,Лизинггүй,5,Ашиглалтад орсон,,,
