үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,PricePerArea
141.39999999999998,"УБ — Баянзүрх, Амгалан",Паркет,1,2024,0,Вакум,16,Бүргэд,50.5,3,0,2,0,2.7999999999999994
180.0,"УБ — Чингэлтэй, Баянбүрд",Паркет,1,2014,0,Вакум,12,Бүргэд,50.0,7,0,2,1,3.6
201.6,"УБ — Хан-Уул, Хан-Уул, Хороо 5",Паркет,1,2025,0,Вакум,16,Бүргэд,72.0,7,1,5,0,2.8
145.0,"УБ — Баянзүрх, Улаанхуаран",Паркет,1,2016,0,Вакум,12,Бүргэд,50.32,8,0,3,1,2.881558028616852
160.0,"УБ — Баянгол, 25-р эмийн сан",Паркет,0,2008,0,Вакум,6,Бүргэд,60.0,6,1,4,1,2.6666666666666665
210.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 8",Паркет,1,2015,0,Вакум,16,Төмөр,49.5,3,0,2,1,4.242424242424242
180.0,УБ — Сүхбаатар,Паркет,2,2020,0,Вакум,16,Бүргэд,64.4,1,1,5,1,2.795031055900621
210.0,"УБ — Баянзүрх, Олимп хотхон",Мод,1,2015,0,Вакум,16,Төмөр,49.8,3,0,2,1,4.216867469879518
45.0,"УБ — Баянзүрх, Шар хад",Паркет,1,2013,0,Вакум,4,Бүргэд,21.0,2,0,1,1,2.142857142857143
153.0,"УБ — Хан-Уул, Хан-Уул, Хороо 19",Паркет,1,2014,0,Вакум,12,Бүргэд,48.7,3,1,2,1,3.141683778234086
220.0,"УБ — Баянгол, Алтай хотхон",Паркет,0,2017,0,Вакум,10,Бүргэд,97.0,9,0,5,1,2.268041237113402
529.72,"УБ — Баянгол, 25-р эмийн сан",Паркет,2,2022,1,Вакум,16,Төмөр,139.4,13,0,5,1,3.8
295.0,"УБ — Хан-Уул, Стадион Оргил",Паркет,1,2011,1,Вакум,6,Төмөр,88.0,2,0,4,1,3.352272727272727
