үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Байршил:
540000000.00,УБ — Сүхбаатар,Паркет,1 тагттай,2024,Байгаа,Вакум,16,Төмөр,77.0 м²,3,Банкны лизингтэй,4,Ашиглалтад орсон,
7000000.00,УБ — Сүхбаатар,Паркет,1 тагттай,2023,Байхгүй,Вакум,23,Вакум,77.0 м²,3,Лизинггүй,3,Ашиглалтад орсон,
2800000.00,"УБ — Баянзүрх, Амгалан",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,50.5 м²,3,Лизинггүй,2,Ашиглалтад ороогүй,
180000000.00,"УБ — Чингэлтэй, Баянбүрд",Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,50.0 м²,7,Лизинггүй,2,Ашиглалтад орсон,
2800000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 5",Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Бүргэд,72.0 м²,7,Хувь лизингтэй,5,Ашиглалтад ороогүй,
145000000.00,"УБ — Баянзүрх, Улаанхуаран",Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,50.32 м²,8,Лизинггүй,3,Ашиглалтад орсон,
160000000.00,"УБ — Баянгол, 25-р эмийн сан",Паркет,Тагтгүй,2008,Байхгүй,Вакум,6,Бүргэд,60.0 м²,6,Банкны лизингтэй,4,Ашиглалтад орсон,
210000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 8",Паркет,1 тагттай,2015,Байхгүй,Вакум,16,Төмөр,49.5 м²,3,Лизинггүй,2,Ашиглалтад орсон,
180000000.00,УБ — Сүхбаатар,Паркет,2 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,64.4 м²,1,Банкны лизингтэй,5,Ашиглалтад орсон,
210000000.00,"УБ — Баянзүрх, Олимп хотхон",Мод,1 тагттай,2015,Байхгүй,Вакум,16,Төмөр,49.8 м²,3,Лизинггүй,2,Ашиглалтад орсон,
45000000.00,"УБ — Баянзүрх, Шар хад",Паркет,1 тагттай,2013,Байхгүй,Вакум,4,Бүргэд,21.0 м²,2,Лизинггүй,1,Ашиглалтад орсон,
153000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 19",Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,48.7 м²,3,Банкны лизингтэй,2,Ашиглалтад орсон,
220000000.00,"УБ — Баянгол, Алтай хотхон",Паркет,Тагтгүй,2017,Байхгүй,Вакум,10,Бүргэд,97.0 м²,9,Лизинггүй,5,Ашиглалтад орсон,
529720000.00,"УБ — Баянгол, 25-р эмийн сан",Паркет,2 тагттай,2022,Байгаа,Вакум,16,Төмөр,139.4 м²,13,Лизинггүй,5,Ашиглалтад орсон,
295000000.00,"УБ — Хан-Уул, Стадион Оргил",Паркет,1 тагттай,2011,Байгаа,Вакум,6,Төмөр,88.0 м²,2,Лизинггүй,4,Ашиглалтад орсон,
110000000.00,"УБ — Сонгинохайрхан, Москва хороолол",Паркет,1 тагттай,2010,Байхгүй,Вакум,12,Бүргэд,40.0 м²,10,Лизинггүй,4,Ашиглалтад орсон,
115000000.00,"УБ — Баянгол, 3, 4 хороолол",Паркет,1 тагттай,2017,Байхгүй,Вакум,8,Төмөр,39.0 м²,2,Лизинггүй,2,Ашиглалтад орсон,
180000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 9",Мод,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,49.0 м²,16,Лизинггүй,3,Ашиглалтад орсон,
130000000.00,"УБ — Баянзүрх, Натур худалдааны төв",Паркет,1 тагттай,2011,Байхгүй,Вакум,12,Бүргэд,38.0 м²,4,Банкны лизингтэй,2,Ашиглалтад орсон,
2200000000.00,"УБ — Хан-Уул, River Garden",Паркет,2 тагттай,2019,Байгаа,Модон вакум,16,Төмөр вакум,214.0 м²,8,Лизинггүй,8,Ашиглалтад орсон,
